,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,dataset,num_workers_data_loader,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
24,0.28694,0.1147,1.9540346991985351,3.454857382593276,55.579235553741455,14.790665626525879,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
25,0.29118,0.1324,1.9486330086008057,4.419699481770962,55.62633013725281,14.755727052688599,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
26,0.29174,0.1049,1.9481898887687936,5.09566299824775,55.29931282997131,14.851172924041748,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
27,0.2922,0.1233,1.9423099597701636,3.901114137866829,55.27168536186218,14.73423147201538,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
28,0.29376,0.1002,1.9343959327853855,3.3936103989806354,55.57477569580078,14.761132001876831,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
29,0.30032,0.1456,1.933659152606564,3.465494653846644,55.60690760612488,15.058942794799805,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
30,0.29976,0.1607,1.9295487937415043,3.338901948325242,55.54271697998047,14.806124687194824,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
31,0.29846,0.1076,1.9337586326062526,2.843919446196737,55.69002032279968,14.727358102798462,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
32,0.30062,0.1417,1.9241836924687066,2.873134312750418,54.74550795555115,14.730804681777954,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
33,0.30042,0.2449,1.9262744011476522,2.4809945414337933,55.23076343536377,14.835297584533691,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
34,0.30254,0.1284,1.9220903922834665,4.56346874901011,54.547319650650024,14.883108615875244,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
35,0.30272,0.1844,1.9234310894670998,2.8857836330993267,54.549166440963745,14.732601165771484,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
36,0.30332,0.126,1.9136640306019113,4.404492173013808,54.77496004104614,14.673587083816528,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
37,0.30636,0.1185,1.9147839399859727,3.451145724405216,54.53656482696533,14.516993761062622,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
38,0.30542,0.1447,1.9161159995266848,4.860478452489346,54.757482290267944,14.7161705493927,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
39,0.31006,0.1238,1.9089281687041377,3.5617647382277475,54.86540985107422,14.931829929351807,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
40,0.3106,0.1638,1.902864101292837,4.726196047625964,54.516945362091064,14.530487775802612,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
41,0.30956,0.1838,1.9016998551995552,4.495378479172912,55.37743067741394,14.614638328552246,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
42,0.31,0.1858,1.9047027347642747,3.726920640921291,55.14639186859131,14.64314317703247,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
43,0.30936,0.1729,1.9008193653257912,5.274226668514783,55.61784911155701,14.673573732376099,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
44,0.31402,0.1982,1.8961968397545388,4.376175070110755,55.43860149383545,14.755175352096558,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
45,0.31216,0.192,1.8983556916341757,5.000562012950076,55.00124645233154,14.721078157424927,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
46,0.31188,0.2262,1.8949828288134407,2.8331257617926298,55.48977017402649,14.722447156906128,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
47,0.31868,0.1588,1.885100577493458,3.8602198920672453,55.47817063331604,14.785692691802979,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
48,0.31664,0.2368,1.88992563598906,3.5055607647835454,54.86094689369202,14.773841142654419,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
49,0.32082,0.22,1.8860502017428502,3.0104289688641512,55.95853114128113,15.603389024734497,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
50,0.31702,0.201,1.8826892778391728,3.035514054419119,58.04698872566223,15.077593564987183,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
51,0.31558,0.1998,1.8849185967384396,3.4297560679761667,57.06017780303955,15.120380401611328,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
52,0.3164,0.1659,1.8860398180344526,3.36077730112438,56.33154058456421,15.12873125076294,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
53,0.31972,0.1488,1.8786921690187186,5.122432431088218,55.579326152801514,14.873334884643555,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
54,0.31864,0.22,1.8775965557683765,2.9872440899474713,56.06734895706177,14.927396059036255,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
55,0.32456,0.2128,1.8717222067401231,3.9772903587244732,56.05078649520874,15.089936971664429,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
56,0.3207,0.1536,1.8773419945441243,4.692773622802541,55.728880167007446,14.862319707870483,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
57,0.32416,0.1012,1.872998598286563,14.095844154116474,55.9549605846405,14.7544424533844,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
58,0.32112,0.2378,1.8760798873803806,3.1848962895477873,55.72969365119934,14.825772523880005,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
59,0.32672,0.1726,1.8677204582087523,4.298185592965234,56.022385120391846,14.85033392906189,1,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.01,0.9,0.0001,0.1,"60,80",,,
