,epoch_timings,test_acc,test_error,test_timings,train_acc,train_loss,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,rank,dataset,num_workers_data_loader,distribute_data,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,135.4853708744049,0.0998,65.48118133544922,48.767786741256714,0.10122,5.155779125739117,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
1,135.6111900806427,0.1102,10.290407478809357,49.17909574508667,0.13508,2.7549857898634307,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
2,134.26515007019043,0.1756,2.1849966168403627,48.366706132888794,0.19724,2.3656200924698187,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
3,136.7973861694336,0.229,2.676158756017685,50.41938519477844,0.242,2.159830323287419,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
4,134.19370937347412,0.2568,8.059313935041427,46.93823003768921,0.2918,2.03069369038757,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
5,135.16091060638428,0.3346,6.0093574047088625,47.76238250732422,0.33708,1.8762371308949528,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
6,132.34719800949097,0.3742,1.892637550830841,46.24686241149902,0.36956,1.8297389891682838,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
7,134.31846833229065,0.39,3.0043898046016695,47.54879927635193,0.41866,1.7035991634641374,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
8,134.31852912902832,0.4561,2.01439573764801,47.10916233062744,0.45688,1.6363774246099043,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
9,134.15769863128662,0.4604,1.904675978422165,47.19519543647766,0.49626,1.5020726116336123,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
10,135.29575181007385,0.462,2.038489490747452,47.70847821235657,0.51088,1.4484906330400584,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
11,134.09835767745972,0.4782,6.068610811233521,47.04408144950867,0.53228,1.4039867678467108,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
12,135.91568779945374,0.5071,2.6754778146743776,48.13597059249878,0.55714,1.3060570821470143,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
13,135.44970560073853,0.5455,2.7563537478446962,48.079827547073364,0.58796,1.2336715982884776,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
14,136.9335548877716,0.5434,1.6015128672122956,48.95154070854187,0.6075,1.1652282075006135,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
15,136.02324438095093,0.4176,623.8472961425781,48.74026560783386,0.61532,1.128835412312527,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
16,133.72545838356018,0.5771,1.4255154967308044,46.84678936004639,0.60916,1.14135157879518,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
17,136.67323637008667,0.5923,1.500252217054367,48.54272675514221,0.64556,1.0350567522097607,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
18,135.12585282325745,0.6048,1.1716165900230409,48.291369676589966,0.67054,0.9525397754445368,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
19,131.38305687904358,0.5877,1.3586881279945373,44.53870105743408,0.70212,0.8700022131812816,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
20,134.620534658432,0.6142,1.2722951292991638,46.131056785583496,0.72554,0.7964758958135333,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
21,147.02000188827515,0.6169,1.376351684331894,47.86528491973877,0.74974,0.7222707703405497,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
22,134.72499704360962,0.621,1.2167980551719666,46.43532872200012,0.7734,0.656541494690642,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
23,135.21764707565308,0.6168,1.5765486001968383,48.5371778011322,0.79814,0.5848545982521407,45,resnet101,42520650,0,cnn,Tesla P40,True,nccl,1,3,2,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
