,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,rank,dataset,num_workers_data_loader,distribute_data,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.32124,0.4622,2.081985334911005,1.443217292616639,68.46255421638489,15.996001958847046,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.46762,0.5346,1.4832866838216172,1.3572659069978739,68.52425289154053,15.956148862838745,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.61686,0.6396,1.0732120010249144,1.0384329527239256,68.4892590045929,15.803637504577637,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.72136,0.6783,0.7924729485036163,0.965446027773845,68.59701132774353,16.02467107772827,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.78338,0.7155,0.6223838769871256,0.8816142036945005,68.38291621208191,15.814961433410645,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.8288,0.7264,0.49067603794814985,0.8721442901635472,68.45410251617432,15.817957401275635,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.86978,0.7191,0.37613304611057274,0.98546506106099,68.25416898727417,15.697581052780151,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.89998,0.738,0.29038286837927824,0.9727391170549996,68.16599559783936,15.916270971298218,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.92402,0.7408,0.22108019110949143,1.0091348992118352,68.40150928497314,15.909180402755737,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.93858,0.744,0.17841731091899335,1.035201617434055,68.45754933357239,15.963716745376587,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.9496,0.7491,0.14499261477947845,1.0803844958921023,68.28621220588684,15.752603530883789,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.95804,0.7427,0.12316884263359068,1.1957981526097166,67.86547565460205,15.708801031112671,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.96262,0.743,0.10640771731810497,1.2062024775939653,68.43374514579773,15.979926586151123,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
13,0.96916,0.7484,0.09208669337203436,1.2074384764779973,68.36005282402039,15.876737356185913,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
14,0.97,0.7468,0.0867914486809841,1.233866822870472,68.33748531341553,15.882936716079712,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
15,0.97302,0.7491,0.07692626129616709,1.1882923298244235,68.43300485610962,15.8476243019104,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
16,0.97524,0.7482,0.07201234265075773,1.2726787887042081,68.09224247932434,15.675188064575195,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
17,0.97744,0.7564,0.06697390840181609,1.201045451284964,68.12724232673645,15.879647970199585,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
18,0.9782,0.754,0.06334264293227278,1.235407189477848,68.43568825721741,15.875987768173218,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
19,0.97644,0.7558,0.06837665888449877,1.2045878632159173,68.28446841239929,15.769314765930176,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
20,0.98028,0.7503,0.05731366165553975,1.259502416170096,68.131502866745,15.875042200088501,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
21,0.98112,0.7166,0.05583193746712202,1.5034280117554,68.3556056022644,15.8428316116333,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
22,0.97922,0.7551,0.05947739057018972,1.2647259906877446,68.29611206054688,15.7965087890625,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
23,0.98212,0.7557,0.05161367119897319,1.2203728586812563,68.39779806137085,15.836642503738403,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
24,0.98278,0.7521,0.04977958362139857,1.2825211128102074,68.37696075439453,15.823538541793823,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
25,0.98312,0.7508,0.04863665630812269,1.3226971490473687,68.35858416557312,15.882050275802612,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
26,0.98356,0.7572,0.04819711508846287,1.1963845687576486,68.40610027313232,15.967955350875854,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
27,0.9809,0.7546,0.05518555375711654,1.2520666650578947,68.46708750724792,15.988641738891602,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
28,0.98508,0.7532,0.04424064572486083,1.3219759411449674,68.4266288280487,15.852434635162354,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
29,0.98374,0.7549,0.04638253266582518,1.216440335104737,68.21368503570557,15.763472318649292,34,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
