,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,rank,dataset,num_workers_data_loader,distribute_data,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.48058,0.6199,1.6134547138458017,1.0861421378352973,55.27228593826294,15.588947772979736,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.71664,0.7016,0.812784825215864,0.8655999566935286,55.33073902130127,15.680598497390747,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.80668,0.7306,0.5577857549233205,0.8286909076231944,55.222153425216675,15.707632303237915,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.86166,0.7488,0.40099093138866715,0.8206898207905926,55.64548325538635,15.868363380432129,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.9051,0.7438,0.2773571179422271,0.9234888613978519,55.25238299369812,15.682091474533081,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.93018,0.7485,0.20203013858183874,0.9550004503394984,55.352585554122925,15.704099416732788,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.94816,0.7473,0.15075117334380478,1.0514961284927176,55.22944211959839,15.664799690246582,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.95834,0.7591,0.11887541288019293,1.0897862186914757,55.21395134925842,15.678829431533813,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.9658,0.7662,0.09727836688480261,1.0703981880900226,54.721391916275024,15.584064722061157,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.97254,0.7693,0.07908161235330126,1.1604690461219112,54.79728174209595,15.538448810577393,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.97426,0.7657,0.07326094297420643,1.1442069132116777,54.84836268424988,15.73371696472168,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.97718,0.7675,0.06348241997115753,1.171133634410327,55.31523823738098,15.730897665023804,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.98002,0.7653,0.05682341954516023,1.2111754990831207,55.32974720001221,15.617621421813965,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
13,0.98058,0.7719,0.05479110211319745,1.1830613416961477,55.2868857383728,15.77394437789917,28,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
