,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,dataset,num_workers_data_loader,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.1042,0.1065,3.056904128172881,2.5037756468922185,141.80726504325867,8.389700889587402,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.10756,0.1149,2.300993060577549,2.453580379486084,142.52070093154907,9.398644208908081,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.16548,0.1971,2.1448722614817948,2.158584546357298,141.64108848571777,8.68169903755188,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.18542,0.202,1.9998488230958475,2.640826451130949,142.64887976646423,8.888587474822998,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.22246,0.2778,1.9268206015505702,2.6397912932661014,141.7130365371704,8.507578134536743,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.28978,0.2899,1.820054440107852,1.8824052936352862,141.98991203308105,8.858888864517212,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.34796,0.3974,1.7289568207924442,8.457974747346993,141.13823437690735,8.443252801895142,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.41186,0.4568,1.5993922540795247,1.6695626570393864,141.4962821006775,8.601274967193604,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.4461,0.4371,1.5303919381311286,1.5842245485835944,141.62136244773865,8.580761909484863,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.41696,0.371,1.6127825364499082,1.7785690889571801,141.56341528892517,8.617339372634888,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.4109,0.3222,1.620928573516875,1.9296298647840944,142.1208348274231,9.006114482879639,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.4029,0.405,1.6532405318927095,1.7055250261538326,141.47657299041748,8.25515365600586,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.45852,0.4741,1.5020503785773416,1.4555277289293063,142.14041376113892,8.806693315505981,21,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
