,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,dataset,num_workers_data_loader,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.15948,0.193,3.2456436178582035,2.1543686595587683,69.31307435035706,4.421309947967529,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.22688,0.2724,2.0917568321954114,2.0132093654273038,69.06911563873291,4.3089072704315186,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.2854,0.3048,1.9524217962227184,1.8967437755566436,69.1455647945404,4.320602178573608,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.33002,0.3699,1.8456725975068349,1.7394678421294727,68.98051357269287,4.517850875854492,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.35866,0.3707,1.773860435873289,1.7328653579321913,69.77072238922119,4.75911545753479,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.38288,0.4123,1.7057489702812922,1.6469653627742975,69.44850778579712,4.430467367172241,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.40698,0.4081,1.6301619123360016,1.6384941415664869,69.00142931938171,4.444240093231201,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.43318,0.4628,1.5658444719900326,1.4985495523903698,69.73201036453247,4.417466402053833,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.45206,0.4671,1.523975903302984,1.491623977693125,70.3347315788269,4.651066303253174,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.45914,0.4752,1.5026270630873706,1.4580292654113647,69.37845706939697,4.437297582626343,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.48294,0.4969,1.4392340228638432,1.400916228279138,69.36229920387268,4.381540536880493,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.49018,0.4921,1.4206586635349199,1.4362199066546018,69.62778615951538,4.375195026397705,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.5215,0.48,1.347047564354907,1.503219431010298,70.09760689735413,4.679123401641846,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
13,0.5393,0.5371,1.3080484787012931,1.2950592237158705,69.0862467288971,4.459871530532837,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
14,0.56198,0.5639,1.2519960637971215,1.2257124179849228,69.99871587753296,4.5954530239105225,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
15,0.57816,0.5895,1.213654808599981,1.1695047220863855,69.99619221687317,4.506183862686157,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
16,0.59312,0.5946,1.1721064912456773,1.1734032648059125,69.13416194915771,4.477848291397095,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
17,0.60484,0.6121,1.1375183137425686,1.1009771193559177,69.17026925086975,4.693882703781128,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
18,0.61826,0.6116,1.1024179563107432,1.1170395626046787,69.95016837120056,4.835936069488525,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
19,0.63442,0.629,1.0646986938483884,1.0617989434982642,69.94603490829468,4.718969345092773,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
20,0.64426,0.6357,1.0347688773161925,1.0452400093642287,70.02883672714233,4.731176853179932,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
21,0.65784,0.6489,0.9971998327257384,1.004449398753742,69.05436301231384,4.42443323135376,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
22,0.66624,0.6567,0.9666417784707636,1.0037510147490822,69.85362768173218,4.542070627212524,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
23,0.68474,0.6546,0.9309342728542809,0.9854028325873061,69.23947882652283,4.523107528686523,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
24,0.69066,0.6738,0.9088083556731085,0.9528726470737031,69.60246562957764,4.431849479675293,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
25,0.70094,0.6545,0.8818493300687786,1.018385981599363,69.67857241630554,5.285192251205444,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
26,0.70696,0.6729,0.8643315517780343,0.9672717401585259,70.714852809906,4.372152090072632,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
27,0.71084,0.6926,0.8512219918780959,0.8961756671198641,69.79375410079956,4.650772571563721,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
28,0.7168,0.7034,0.8365759402990188,0.9015454035787918,69.29740524291992,4.441936254501343,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
29,0.72226,0.6912,0.821253562271023,0.9313793054784829,69.82090616226196,4.681344985961914,18,resnet50,25557032,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
