,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,rank,dataset,num_workers_data_loader,distribute_data,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.3248,0.4399,2.0742554884127644,1.6833568585069874,68.31884551048279,15.24899697303772,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.56868,0.6169,1.2211783874370252,1.1067343754104422,68.46530270576477,15.191020488739014,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.68212,0.6885,0.9000861437424369,0.8978164663797692,68.31424832344055,15.172662496566772,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.75534,0.715,0.7063316562596489,0.8427849178072773,68.49295830726624,15.290661811828613,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.8079,0.7263,0.5560473799705505,0.8420645896392532,68.33717274665833,15.173962354660034,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.85006,0.7408,0.4390578574460486,0.8164707459980929,68.5750982761383,15.267835855484009,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.88164,0.7523,0.3469033456976761,0.8044485525239872,68.11933994293213,14.9356529712677,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.90744,0.7508,0.27077261768186184,0.8623198897023744,68.44783401489258,15.28852915763855,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.92608,0.7424,0.2140148955652171,0.9747180184231529,68.34231376647949,15.079962730407715,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.93646,0.7524,0.17826142585109872,1.0081450124330158,68.35713052749634,15.115427732467651,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.94952,0.7579,0.14594070810605497,1.0140230172797093,68.13181567192078,15.106199979782104,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.95544,0.7608,0.12791430918723726,1.0048982885819446,68.27067422866821,15.107464075088501,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.96302,0.7661,0.10719077228604222,1.026386337944224,68.38170027732849,15.122390031814575,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
13,0.96578,0.7556,0.09740780679809163,1.1093236011794851,68.16058468818665,15.012231588363647,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
14,0.96804,0.757,0.09237440173392711,1.0504939563666718,68.30994057655334,15.113597869873047,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
15,0.97232,0.7653,0.07952000556604179,1.120366195334664,68.30774235725403,15.11392879486084,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
16,0.97408,0.7467,0.07661774884099545,1.199279231361196,68.17916464805603,15.091862201690674,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
