,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,rank,dataset,num_workers_data_loader,distribute_data,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.35396,0.4954,2.1418741637346694,1.4120969831943513,42.709816694259644,14.488751411437988,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.56652,0.5901,1.227439888886043,1.1674854159355164,42.64138436317444,14.34459900856018,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.65912,0.5952,0.965879777864534,1.2647948384284973,42.70815968513489,14.39227819442749,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.72674,0.681,0.7776993415793594,0.9072952955961228,42.52347183227539,14.40265440940857,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.77824,0.697,0.6356777116960409,0.8977233022451401,42.838345527648926,14.564117908477783,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.8171,0.72,0.5313182756000635,0.8589784890413285,42.548895597457886,14.424926280975342,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.84818,0.7254,0.4378848051538273,0.8897582590579987,42.60415816307068,14.386348009109497,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.8747,0.7246,0.3623419297592981,0.9185226052999497,42.69723153114319,14.404415369033813,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.8947,0.7328,0.3026740240807436,0.9160883516073227,42.55148887634277,14.40672492980957,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.9144,0.7344,0.24975157985273672,0.9736302763223648,42.56189775466919,14.44481873512268,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.92888,0.7368,0.20523216849078937,1.0527144819498062,42.594974517822266,14.429321527481079,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.9404,0.7498,0.17488109905804908,1.025900650024414,42.56269931793213,14.458354473114014,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.9505,0.7366,0.14304400676367235,1.0760771006345748,42.76046395301819,14.576160669326782,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
13,0.95316,0.7457,0.13104437375251127,1.1361440926790238,42.64112305641174,14.410118341445923,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
14,0.95994,0.7424,0.11421874530461369,1.1987592309713364,42.50435447692871,14.461257457733154,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
15,0.96536,0.7443,0.09887848611997098,1.2192376017570496,42.53098201751709,14.312972784042358,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
16,0.9695,0.7451,0.08577768230924801,1.2458450198173523,42.71889114379883,14.412168502807617,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
17,0.97286,0.7533,0.07766116973088712,1.266786402463913,42.67960262298584,14.413393497467041,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
18,0.97494,0.7493,0.0710958718341224,1.3107219755649566,42.6842942237854,14.473793029785156,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
19,0.97588,0.7502,0.06773928537660716,1.327646154165268,42.594996213912964,14.415306091308594,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
20,0.98006,0.7633,0.05646476170466262,1.3008969604969025,42.46008586883545,14.40893030166626,25,resnet18,11181642,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,2,0,cifar10,16,False,30,512,0.1,0.9,0.0001,0.1,"60,80",,,
