,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,rank,dataset,num_workers_data_loader,distribute_data,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.18816,0.2758,4.270121041466208,2.9588072465944895,110.85701990127563,16.97870397567749,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.33068,0.3817,1.9177760733362963,1.8332221311858938,111.26048946380615,17.211743593215942,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.42524,0.4531,1.597981917888612,4.7007957395119,110.71781063079834,17.08965539932251,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.49474,0.4746,1.3957213904241772,2.5892635598967346,110.84429740905762,17.11001682281494,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.5529,0.5428,1.2435487057546826,1.3164413473274135,111.20244693756104,17.39119791984558,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.60386,0.5727,1.1100804133488393,2.35814849409876,111.05322432518005,17.338765859603882,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.65206,0.5967,0.9871379534911622,1.282087897952599,110.92786145210266,17.225049257278442,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.6941,0.6288,0.8737701302599115,2.004367141029503,110.9148302078247,17.13921022415161,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.73672,0.6314,0.7558136103708116,1.118851030929179,111.1126184463501,17.177626132965088,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.77158,0.6377,0.6592310861400936,5.506727298603782,111.1546733379364,17.316328287124634,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.80652,0.6362,0.5535391483770307,3.5375775702392,110.91525769233704,17.28197956085205,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.8405,0.6392,0.45752423887362564,4.639340463318402,110.73645901679993,17.12716293334961,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.86728,0.636,0.38745296005245367,2.4986020688769184,110.88498711585999,17.203760385513306,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
13,0.89144,0.6375,0.31497297603684615,2.1755861692790743,111.00461769104004,17.186956644058228,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
14,0.91076,0.6585,0.25818201209730507,1.8911708057681216,110.8744854927063,17.331840753555298,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,0,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
