,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,rank,dataset,num_workers_data_loader,distribute_data,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.18646,0.2758,3.838972458144283,2.9588072465944895,111.04123878479004,17.193758010864258,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.33034,0.3817,1.9301705040285349,1.8332221311858938,111.25164842605591,17.419241905212402,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.42918,0.4531,1.600430476086219,4.7007957395119,110.79006171226501,17.340011596679688,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.49796,0.4746,1.3909965780994775,2.5892635598967346,110.71181583404541,17.22841739654541,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.55336,0.5428,1.2463793899397106,1.3164413473274135,111.09539818763733,17.400326013565063,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.6045,0.5727,1.1106631868635601,2.35814849409876,111.0502541065216,17.34500026702881,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.65266,0.5967,0.984038403272019,1.282087897952599,110.9478862285614,17.250005960464478,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.69424,0.6288,0.8701681485566337,2.004367141029503,111.03973126411438,17.276808977127075,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.7339,0.6314,0.7639356340898578,1.118851030929179,110.97907972335815,17.189624547958374,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.7714,0.6377,0.6551658675798675,5.506727298603782,111.13333368301392,17.317723989486694,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.80638,0.6362,0.5501744573378502,3.5375775702392,110.93019962310791,17.297419548034668,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.84194,0.6392,0.4588643877250154,4.639340463318402,110.86593198776245,17.269963026046753,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.86984,0.636,0.3755017267849744,2.4986020688769184,110.75406098365784,17.205227375030518,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
13,0.89338,0.6375,0.30916609163479425,2.1755861692790743,111.00458216667175,17.191837072372437,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
14,0.90814,0.6585,0.26572509323392074,1.8911708057681216,110.87086582183838,17.34440302848816,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
15,0.92298,0.6514,0.22255527586354623,1.9183830052991457,110.96011853218079,17.2869234085083,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
16,0.93418,0.6519,0.19111428661343385,1.6787287072290349,110.83854079246521,17.291662216186523,46,resnet101,42520650,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,4,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
