,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,dataset,num_workers_data_loader,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.36064,0.4509,1.8247882665462092,1.5214477794619794,31.698169708251953,2.2951061725616455,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.51876,0.5928,1.3463382453622532,1.1480849010114091,31.478979349136353,2.3196728229522705,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.60728,0.6472,1.1302097218393594,1.017161146710856,32.1152241230011,2.328505039215088,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.65642,0.6451,1.0047269981027946,1.05198843829548,31.068702220916748,2.4337854385375977,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.67878,0.6592,0.9348309596646541,0.990502993900555,32.4197199344635,2.3482518196105957,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.70288,0.7146,0.8768264325627592,0.8393999754239957,32.58762788772583,2.280320167541504,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.7195,0.7093,0.8340962977837998,0.8447997014933881,30.948433876037598,2.189131259918213,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.72798,0.7178,0.8002671429116377,0.8227533695225517,30.23015785217285,2.2534706592559814,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.73824,0.719,0.7701414286403876,0.8303001627754479,31.216456413269043,2.180121660232544,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.74982,0.7393,0.7387356384396935,0.7709137302237197,30.439783811569214,2.243239402770996,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.75652,0.7311,0.7169480458025893,0.7848153065759153,30.57362675666809,2.205106019973755,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.75926,0.7018,0.705030325268677,0.9128309917716554,30.892106533050537,2.2293500900268555,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.76764,0.7259,0.6877977681308699,0.8327381266191745,30.72081470489502,2.3165364265441895,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
13,0.77222,0.7434,0.6726844270814327,0.7550320017832918,30.836697340011597,2.2733569145202637,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
14,0.77684,0.7443,0.6564102474211578,0.781577609312801,31.083768606185913,2.231462001800537,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
15,0.78284,0.7369,0.6472622942196126,0.8108135747452514,30.79655170440674,2.293611526489258,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
16,0.78374,0.7485,0.639068408389543,0.7751475275514986,31.259220361709595,2.280953884124756,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
17,0.78676,0.7537,0.6317758758100118,0.7663225257358612,31.21881365776062,2.2968058586120605,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
18,0.78972,0.7318,0.6213330086499396,0.7941214548894011,32.09769821166992,2.249544143676758,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
19,0.7902,0.7577,0.6183114053248902,0.7267052500773543,32.2517523765564,2.223266839981079,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
20,0.79622,0.7398,0.6049962488413619,0.7977926963434433,31.167505025863647,2.3873109817504883,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
21,0.79996,0.7673,0.5933233886976236,0.6965297107308056,31.772414922714233,2.3641161918640137,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
22,0.79998,0.7468,0.5909606544962314,0.7835381123395012,31.39737033843994,2.3032820224761963,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
23,0.7991,0.7461,0.5911631945589759,0.751453883208025,31.185863971710205,2.2043254375457764,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
24,0.80338,0.75,0.583382997583176,0.7669323823703363,29.51936149597168,2.2411630153656006,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
25,0.80918,0.7685,0.5719168966139118,0.6917552890392918,31.281211137771606,2.242321014404297,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
26,0.80682,0.7581,0.5722557702033244,0.7290528369026062,32.948158264160156,2.353116273880005,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
27,0.80978,0.762,0.5682158417337153,0.7037091832191419,31.84916639328003,2.3844008445739746,12,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,32,0.1,0.9,0.0001,0.1,"60,80",,,
