,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,dataset,num_workers_data_loader,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.10256,0.1018,5.178787506356532,2.3076543688774107,30.95570659637451,2.6163225173950195,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.1048,0.119,2.9050666920992794,3.5865073084831236,29.881165504455566,2.616182327270508,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.13264,0.1774,2.6341793926394717,2.221083962917328,29.978971481323242,2.6096606254577637,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.1945,0.2199,2.391843157155173,2.5490727603435515,29.947314262390137,2.5968544483184814,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.23472,0.2183,2.172524314753863,2.10805920958519,29.936054468154907,2.5875325202941895,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.29996,0.3313,2.027323861511386,3.162849599123001,29.986441373825073,2.598813772201538,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.36956,0.3942,1.8818282874263064,1.842402184009552,29.916714668273926,2.57558274269104,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.4102,0.424,1.7196929795401437,1.9010087728500367,29.848395824432373,2.6188130378723145,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.4079,0.4121,1.7563817756516593,1.665182888507843,30.019198417663574,2.6119611263275146,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.43126,0.4169,1.695811008920475,1.7182702422142029,29.91594171524048,2.5806705951690674,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.45964,0.2454,1.5929445697336782,2.5419100522994995,29.922325134277344,2.6086504459381104,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.48364,0.4705,1.4936269594698537,1.522358477115631,29.966958045959473,2.624932289123535,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.51704,0.5091,1.3780336684110213,1.8821002066135406,30.1021568775177,2.5875632762908936,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
13,0.53648,0.4746,1.3424991807159112,1.5657448828220368,29.935906410217285,2.59840989112854,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
14,0.55672,0.5412,1.2787140352385384,1.4009427845478057,29.896311044692993,2.603147268295288,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
15,0.57428,0.5239,1.2174130909296932,1.5443133533000946,29.90165638923645,2.597557544708252,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
16,0.58686,0.5583,1.1719339867027438,1.34023876786232,29.91358733177185,2.6281771659851074,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
17,0.60328,0.5652,1.1280376667879066,1.368010300397873,29.940242767333984,2.59846568107605,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
18,0.61714,0.5439,1.092755056157404,1.5199080467224122,30.014727115631104,2.606717824935913,23,resnet101,44549160,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,512,0.1,0.9,0.0001,0.1,"60,80",,,
