,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,dataset,num_workers_data_loader,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.38036,0.4675,1.9002161062586949,1.498808092708829,13.573621273040771,1.264094352722168,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.5431,0.588,1.2803496312912164,1.181923227219642,13.697561740875244,1.3194630146026611,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.6215,0.6053,1.0680882692946803,1.126372157018396,13.655975103378296,1.3306396007537842,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.67672,0.6728,0.917093173774612,0.9395700353610364,13.586355209350586,1.2728488445281982,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.71888,0.6903,0.8032507123544698,0.8918479929996442,13.424729824066162,1.2494735717773438,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.74438,0.7189,0.7290077884788708,0.8090580716917787,13.393410444259644,1.2435753345489502,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.76694,0.7336,0.6648466521516785,0.7832601885252362,13.535929679870605,1.2996180057525635,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.78674,0.7369,0.6137387596280374,0.769229078971887,13.567930698394775,1.2879931926727295,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.80368,0.7454,0.5648415135910444,0.751950079127203,13.572876930236816,1.3313536643981934,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.81892,0.7488,0.5242927726882193,0.759215932103652,13.396907091140747,1.254415512084961,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
10,0.8312,0.7559,0.490584281018323,0.7378448659106146,13.204631805419922,1.211318016052246,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
11,0.84184,0.755,0.45586863693678775,0.7370985429498214,13.401603698730469,1.251091718673706,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
12,0.85304,0.7577,0.4244213129400902,0.7411998035032538,13.31465196609497,1.2487316131591797,13,resnet18,11689512,0,cnn,Tesla P100-PCIE-16GB,False,None,1,1,cifar10,4,100,128,0.1,0.9,0.0001,0.1,"60,80",,,
