,train_acc,test_acc,train_loss,test_error,epoch_timings,test_timings,config_index,model_name,num_of_paramters,num_of_layers,model_type,gpu,is_distributed,distributed_strategy,num_of_nodes,num_of_gpus,rank,dataset,num_workers_data_loader,distribute_data,num_epochs,batch_size,learning_rate,momentum,weight_decay,gamma,milestones,lr_scheduler,optimizer,criterion
0,0.3242,0.4399,2.1040085301069955,1.6833568585069874,68.36352396011353,15.307804584503174,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
1,0.56738,0.6169,1.2214085174643474,1.1067343754104422,68.45258951187134,15.221980810165405,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
2,0.68234,0.6885,0.8988830991413282,0.8978164663797692,68.31824779510498,15.215250492095947,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
3,0.75214,0.715,0.7111022128625903,0.8427849178072773,68.45614981651306,15.294240474700928,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
4,0.80778,0.7263,0.5549565764796703,0.8420645896392532,68.4085841178894,15.236835241317749,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
5,0.84942,0.7408,0.43976021342722654,0.8164707459980929,68.51244521141052,15.28026032447815,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
6,0.88252,0.7523,0.34135724367845394,0.8044485525239872,68.30616164207458,15.133309364318848,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
7,0.90744,0.7508,0.27018194977203597,0.8623198897023744,68.28911995887756,15.352856159210205,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
8,0.92378,0.7424,0.22174779095155808,0.9747180184231529,68.36899876594543,15.149508476257324,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
9,0.93796,0.7524,0.17758088227351912,1.0081450124330158,68.34713363647461,15.162604093551636,32,resnet34,21289802,0,cnn,Tesla V100-PCIE-32GB,True,nccl,1,3,2,cifar10,16,False,30,128,0.1,0.9,0.0001,0.1,"60,80",,,
